Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,3,Andover town,1,1,335000,0,0,0,0,0,0,0,0,0
201706,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,3,Avon town,1,1,323260,0,0,0,0,0,0,0,0,0
201706,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,1,Berlin town,3,3,503047,0,0,0,0,0,0,0,0,0
201706,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,5,Bethel town,7,7,1176211,0,0,0,0,0,0,0,0,0
201706,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,1,Bloomfield town,2,2,406231,0,0,0,0,0,0,0,0,0
201706,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,3,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,1,Branford town,5,5,1087000,0,0,0,0,0,0,0,0,0
201706,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,1,Bridgeport,0,0,0,1,2,96000,0,0,0,0,0,0
201706,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,1,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,3,Bristol,4,4,640000,0,0,0,0,0,0,0,0,0
201706,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,1,Brookfield town,1,1,220000,0,0,0,0,0,0,0,0,0
201706,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,1,Brooklyn town,1,1,261000,0,0,0,0,0,0,0,0,0
201706,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,3,Burlington town,3,3,1301630,0,0,0,0,0,0,0,0,0
201706,09,097000,003,    ,00000 ,12270 ,10292 ,278,25540, , ,06022      ,1,1,1,Canton town,0,0,0,0,0,0,0,0,0,0,0,0
